id,user_id,company_id,parent_order_id,assigned_user_id,order_number,title,description,status,priority,start_date,end_date,estimated_hours,actual_hours,total_amount,progress_percentage,notes,created_at,updated_at
b4212136-7a27-4369-80bb-cdeb81af079d,189b43fd-9975-488b-8ba4-14ef5f0d1d6c,b6103ce8-7c70-4ec8-825b-19eac77e4602,null,null,ORD-20251203-eea41ec8,Analisi dai JooyFlow,analisi dati da diverse sorgenti via AI e presentazione dei risultati,active,medium,2025-11-27,null,20.00,8.00,3000.00,40,Creata automaticamente da opportunità: Analisi dai JooyFlow,2025-12-03 09:50:43.099997+00,2025-12-03 10:15:50.873007+00
8d485031-fe15-47b0-a64d-8cced7c1ce14,a2bd548b-bdd1-421f-bdc6-40603a75f96d,e2794646-cf48-48e7-b105-3a95b5f72cf9,null,null,ORD-2025-0003,Sviluppo sito web Adda martesana,null,active,medium,2025-10-08,2025-12-30,0.00,0.00,13300.00,50,(Convertito da opportunità: Sviluppo sito web Adda martesana),2025-10-08 16:11:56.395106+00,2025-12-04 16:13:55.047432+00
4ecd63e6-7e92-4d37-b903-8400abacdb3b,a2bd548b-bdd1-421f-bdc6-40603a75f96d,44f1c2be-2193-40d5-ab26-ff5662a2c622,null,null,ORD-2025-0002,Piattaforma E015 per UNPLI Lombardia - Tenant setup,null,active,medium,2025-10-07,2025-12-30,0.00,80.00,3300.00,60,(Convertito da opportunità: Piattaforma E015 per UNPLI Lombardia - Tenant setup),2025-10-08 16:11:52.759696+00,2025-12-04 16:14:29.380125+00
6ef1a5bb-b99a-404b-bc06-5600a2aa94b1,a2bd548b-bdd1-421f-bdc6-40603a75f96d,44f1c2be-2193-40d5-ab26-ff5662a2c622,null,null,ORD-2025-0001,Attivazione 18 proloco + Comitato regionale su piattaforma E015,null,active,medium,2025-10-08,2025-12-30,0.00,30.00,5700.00,30,(Convertito da opportunità: Attivazione 18 proloco su piattaforma E015),2025-10-08 16:11:47.887733+00,2025-12-04 16:15:11.399536+00
