id,user_id,company_id,title,description,amount,win_probability,expected_close_date,notes,created_at,updated_at,status
0acbb267-fe59-4351-8396-ca48223cb3af,a2bd548b-bdd1-421f-bdc6-40603a75f96d,44f1c2be-2193-40d5-ab26-ff5662a2c622,Piattaforma E015 per UNPLI Lombardia - Tenant setup,null,3000.00,90,2025-10-30,null,2025-09-20 16:13:04.486629+00,2025-10-14 20:32:10.501794+00,acquisita
e7da3904-d7a6-4f91-bb7a-d5819b4c8e65,a2bd548b-bdd1-421f-bdc6-40603a75f96d,7effd8ef-9e62-4bdc-9e84-ce4bf41f461f,Formazione AI demistified,FOMRAZIONE AI,1440.00,50,null,null,2025-09-22 06:17:35.945127+00,2025-09-22 13:28:06.039231+00,in_attesa
552d1e26-a1c0-4f4a-af5b-f180a93bc55e,189b43fd-9975-488b-8ba4-14ef5f0d1d6c,b6103ce8-7c70-4ec8-825b-19eac77e4602,Analisi dai JoyFlow,analisi dati da diverse sorgenti via AI e presentazione dei risultati,3000.00,100,null,null,2025-12-02 10:02:38.44964+00,2025-12-04 16:26:49.661289+00,acquisita
6d5eb1f4-c337-4e3c-bdd7-d19ad14ba2fa,a2bd548b-bdd1-421f-bdc6-40603a75f96d,e2794646-cf48-48e7-b105-3a95b5f72cf9,Sviluppo sito web Adda martesana,null,13300.00,90,2025-10-30,null,2025-09-20 16:19:57.29513+00,2025-10-14 20:31:57.1676+00,acquisita
285a3843-d3a7-4871-a363-576cc207dcb3,a2bd548b-bdd1-421f-bdc6-40603a75f96d,44f1c2be-2193-40d5-ab26-ff5662a2c622,Attivazione 18 proloco su piattaforma E015,null,5400.00,90,2025-10-30,null,2025-09-20 16:15:53.842546+00,2025-10-14 20:32:04.098833+00,acquisita
